Series Name,Series Code,Country Name,Country Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Forest area (% of land area),AG.LND.FRST.ZS,China,CHN,19.60793869,19.85942287,20.11090813,20.36239278,20.61387789,20.86536169,21.11684505,21.36832885,21.57462737,21.78092589,21.9872244,22.19352292,22.39982144,22.63049793,22.83070681,23.03091218,23.23111754,23.4313229,23.63152827,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Pakistan,PAK,58.02194753,59.82735442,60.08080078,60.92952138,62.47639073,61.63521395,61.03428807,60.27256849,59.6873876,59.48637101,59.2801424,61.58536145,..,..,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Qatar,QAT,..,100,100,..,100,99.9999956,100,..,..,..,100,99.99502672,..,..,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Japan,JPN,84.31138174,82.70647334,81.61186176,81.4531167,83.48271492,83.21545458,81.22805604,80.91095442,89.76594207,94.62155285,94.63330153,94.4074689,93.02645511,..,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Italy,ITA,90.2161117,90.40624236,89.80144618,89.19087872,88.18304312,86.8421531,84.85132567,84.62877402,84.46479721,82.20135574,79.96433459,78.58642262,79.94845474,..,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,New Zealand,NZL,70.01993546,68.2581754,68.18112115,67.62940924,67.57928702,66.85097419,64.13140864,61.05375011,59.75881495,62.23657981,60.83265377,59.84684405,59.74916854,..,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,United Kingdom,GBR,88.82498255,88.61973186,88.15744775,88.6059099,89.61975501,90.17869547,87.36773537,88.16810568,85.56318573,85.13981223,83.5597408,82.7165785,80.35177127,..,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Brazil,BRA,54.64132844,54.6982243,54.25232116,53.42289188,52.66064026,52.56946061,51.31850799,53.48790284,54.56870942,56.54889227,58.01808225,59.10753264,..,..,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Canada,CAN,76.54703877,75.19713565,75.74513789,74.56307191,74.73558379,75.07600268,75.06600051,75.38539269,74.69174698,74.43947915,73.17351572,73.19287432,74.08906202,..,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,China,CHN,83.22975774,84.79645465,85.872736,86.82834222,87.40785733,87.22405182,87.63569469,88.25519867,88.89836293,88.41916221,88.23749257,87.67043077,..,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Afghanistan,AFG,8.832277813,1.414117981,11.22971482,5.357403251,13.82631955,3.924983822,21.39052839,14.36244147,0.426354785,12.75228709,5.600744658,2.724543364,1.45131466,2.260314201,2.647003202,1.189228128,3.911603419,-2.351100673,-20.69999999,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Pakistan,PAK,5.777033992,7.546860015,6.518778074,5.898984442,4.832817277,1.701405466,2.831658519,1.606688629,2.748405917,3.50703342,4.396456634,4.674707982,4.731147475,5.526735845,4.432625907,6.151702611,2.497636929,-1.274087443,6.487086774,6.188155474
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Qatar,QAT,3.719958677,19.21891534,7.492758483,26.17024567,17.98565682,17.66355636,11.95656113,19.59233153,13.37517641,4.730011844,5.556040643,5.334323292,4.753345724,3.064191884,-1.497604702,1.234872202,0.774808388,-3.640449805,1.590998164,4.827689101
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Japan,JPN,1.535125499,2.186115694,1.803900872,1.372350128,1.483969412,-1.224289001,-5.693236359,4.097917919,0.023809524,1.374750999,2.005100177,0.296205514,1.560626697,0.753826746,1.675331752,0.643391023,-0.402169201,-4.278603688,2.142487369,1.028624866
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Italy,ITA,0.138626891,1.423594158,0.817848974,1.790639681,1.48707298,-0.962012841,-5.280937208,1.713295839,0.707333347,-2.980905768,-1.841065451,-0.004547542,0.778304351,1.293462732,1.667859041,0.925810941,0.483198317,-8.979126097,6.986766416,3.674683255
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,New Zealand,NZL,4.728476454,4.088956923,3.353315797,2.798463492,3.065117831,-1.210711596,-0.11206763,1.466751165,2.221579823,2.273031482,2.764920987,3.810836838,3.736430715,3.801758048,3.524413249,3.5251832,2.445983155,-0.653921432,5.167847359,2.156979776
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United Kingdom,GBR,3.123053313,2.344971482,2.668337657,2.160405321,2.563460461,-0.154344315,-4.5104856,2.430072895,1.067610914,1.448456757,1.819863375,3.199702626,2.393103184,2.165206211,2.44357047,1.705021022,1.604308648,-11.03085846,7.597470972,4.101621381
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brazil,BRA,1.140828998,5.759964637,3.202132061,3.961988711,6.069870607,5.094195447,-0.125812002,7.528225818,3.974423079,1.921175986,3.004822669,0.50395574,-3.545763393,-3.275916908,1.322869054,1.783666762,1.220777824,-3.276758796,4.988849701,2.900530615
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Canada,CAN,1.801518136,3.086980809,3.204200428,2.634303814,2.071825031,1.004289199,-2.925955647,3.089919462,3.146100491,1.760961588,2.329122506,2.870036075,0.659176864,1.001394414,3.039880225,2.777040554,1.888223585,-5.074357568,5.011800875,3.396202279
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,China,CHN,10.03803048,10.11362138,11.39459181,12.72095567,14.23086093,9.65067892,9.398725632,10.63587106,9.550832179,7.863736449,7.766150098,7.425763656,7.041328879,6.848762205,6.947200793,6.749773832,5.950500754,2.238638356,8.447478293,2.990804598
Urban population growth (annual %),SP.URB.GROW,Afghanistan,AFG,7.953447688,4.588653258,4.47468959,5.034216003,2.688468426,2.8939489,4.449268736,3.779279064,4.574493314,4.958980984,4.344553352,4.531768503,3.996007967,3.452642906,3.781556617,3.850832833,3.919286985,4.185357062,3.951857289,3.675647413
Urban population growth (annual %),SP.URB.GROW,Pakistan,PAK,2.786761163,2.831935166,2.751737977,2.691185744,2.73361322,2.767492607,2.814322875,2.837191919,2.694889892,2.381463234,2.114193721,1.985957317,1.872792953,1.779757132,1.900540086,2.149966084,2.263115623,2.429650206,2.571281636,2.667484112
Urban population growth (annual %),SP.URB.GROW,Qatar,QAT,5.018035414,4.083826843,9.021135857,18.18042505,19.61203091,16.13212216,11.08008233,6.381283779,5.258557755,5.568989661,6.680509619,8.510843016,8.729014397,7.283549401,4.45815999,2.06458951,1.506747953,-1.635604454,-2.605205608,0.296133442
Urban population growth (annual %),SP.URB.GROW,Japan,JPN,2.093400149,1.754431988,1.577840667,1.380580981,1.288009098,1.128273231,0.976949089,0.928359533,0.097376604,-0.073000997,-0.05873318,-0.047229106,-0.021827026,0.031996198,0.003375441,-0.038428078,-0.051001491,-0.202631223,-0.36738454,-0.348106762
Urban population growth (annual %),SP.URB.GROW,Italy,ITA,0.620956423,0.82332128,0.665741727,0.474607926,0.67868172,0.835914949,0.627292741,0.480438951,0.343066345,0.61957915,1.587835187,1.341371299,0.325701454,0.246127222,0.26299854,0.228197851,-0.730852392,-0.059658081,-0.124129801,0.006323844
Urban population growth (annual %),SP.URB.GROW,New Zealand,NZL,2.043170657,1.555790266,1.198297255,1.287272925,0.862952376,0.779170376,0.93018233,1.04210166,0.692820855,0.619042484,0.837960847,1.730568118,2.105557973,2.314333999,2.165083237,1.8744789,1.680101108,2.301713163,0.519387762,0.357554861
Urban population growth (annual %),SP.URB.GROW,United Kingdom,GBR,0.834359753,0.933797334,1.045133677,1.089795475,1.127189955,1.131869196,1.095105268,1.117771085,1.110599171,1.02214552,0.993032273,1.05628515,1.108747983,1.072051621,0.988958892,0.912161082,0.868230887,0.665362493,0.214406092,0.209975587
Urban population growth (annual %),SP.URB.GROW,Brazil,BRA,1.579372654,1.525494072,1.495783047,1.449695025,1.398193688,1.347339007,1.30477188,1.28506681,1.278956661,1.244776637,1.204555809,1.189409325,1.170641414,1.127882077,1.102096588,1.094558477,1.060237553,0.951553411,0.808423004,0.731782792
Urban population growth (annual %),SP.URB.GROW,Canada,CAN,1.000212478,1.03051181,1.040618588,1.123846755,1.199018842,1.309029905,1.364893948,1.333268714,1.174952642,1.136362333,1.107109995,1.05460142,0.796807975,1.182792155,1.261000552,1.487415579,1.523308331,1.171930462,0.686929106,1.944541562
Urban population growth (annual %),SP.URB.GROW,China,CHN,4.078403526,3.97537213,3.882472976,3.674728093,3.511255552,3.433957689,3.338102468,3.255365494,3.123377177,3.130656596,3.048365006,2.953497442,2.842870548,2.775641769,2.73966382,2.503400504,2.290177234,2.078140058,1.838530282,1.649480857
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Afghanistan,AFG,36.66,44.24,33.88,31.89,28.78,21.17,16.53,15.15,12.61,15.36,16.86,18.93,17.53,19.92,19.21,17.96,18.51,17.58,17.86,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Pakistan,PAK,50.09,47.93,47.96,47.04,44.85,46.63,46.43,47.4,46.76,47.2,48.13,47.22,45.88,43.69,42.1,43.36,45.88,46.6,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Qatar,QAT,0.05,0.03,0.03,0.1,0.07,0.11,0.07,0.13,0.14,0.04,0.04,0.05,0.05,0.06,0.07,0.05,0.06,0.06,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Japan,JPN,4.19,4.26,4.01,4.43,4.28,4.44,4.51,4.66,4.82,4.68,5.05,5.58,6.16,6.38,6.92,7.26,7.76,8.45,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Italy,ITA,6.24,5.94,6.7,7.51,8.73,10.82,12.54,12.79,11.9,14.39,16.32,17.13,16.57,16.09,16.43,17.08,17.27,18.69,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,New Zealand,NZL,25.9,28.21,26.79,27,27.05,26.13,28.47,29.37,30.31,28.76,28.29,28.99,29.32,30.09,28.4,28.93,27.93,28.61,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,United Kingdom,GBR,0.93,1.14,1.35,1.55,1.84,2.4,2.92,3.13,3.94,4.15,5.18,6.53,7.71,7.68,8.81,10.09,11.39,13.5,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Brazil,BRA,45.11,45.18,46.13,46.67,47.19,47.04,48.92,46.81,45.26,43.49,42.32,41.71,43.62,45.46,45.33,46.95,47.58,50.05,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Canada,CAN,21.18,21.58,21.26,21.18,21.26,21.3,21.94,21.13,21.17,21.44,21.84,21.83,21.83,21.62,22.35,21.92,22.47,23.85,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,China,CHN,23.86,20.17,17.44,16.39,14.88,14.14,13.43,12.26,11.34,11.53,11.47,11.91,12.18,12.6,13.14,13.55,14.33,14.81,..,..
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,,,,,,,,,,,,,,
